Month,Day,Time,Entrances
Aug,Friday,08:30-08:45AM,3
Aug,Friday,08:45-08:59AM,7
Aug,Friday,09:00-09:15AM,6
Aug,Friday,09:15-09:30AM,7
Aug,Friday,09:30-09:45AM,6
Aug,Friday,09:45-09:59AM,8
Aug,Friday,10:00-10:15AM,12
Aug,Friday,10:15-10:30AM,6
Aug,Friday,10:30-10:45AM,21
Aug,Friday,10:45-10:59AM,15
Aug,Friday,11:00-11:15AM,14
Aug,Friday,11:15-11:30AM,14
Aug,Friday,11:30-11:45AM,7
Aug,Friday,11:45-11:59AM,19
Aug,Friday,12:00-12:15PM,20
Aug,Friday,12:15-12:30PM,10
Aug,Friday,12:30-12:45PM,5
Aug,Friday,12:45-12:59PM,5
Aug,Friday,01:00-01:15PM,10
Aug,Friday,01:15-01:30PM,8
Aug,Friday,01:30-01:45PM,8
Aug,Friday,01:45-01:59PM,10
Aug,Friday,02:00-02:15PM,9
Aug,Friday,02:15-02:30PM,13
Aug,Friday,02:30-02:45PM,7
Aug,Friday,02:45-02:59PM,14
Aug,Friday,03:00-03:15PM,18
Aug,Friday,03:15-03:30PM,18
Aug,Friday,03:30-03:45PM,13
Aug,Friday,03:45-03:59PM,13
Aug,Friday,04:00-04:15PM,9
Aug,Friday,04:15-04:30PM,10
Aug,Friday,04:30-04:45PM,11
Aug,Friday,04:45-04:59PM,13
Aug,Friday,05:00-05:15PM,10
Aug,Friday,05:15-05:30PM,10
Aug,Friday,05:30-05:45PM,18
Aug,Friday,05:45-05:59PM,14
Aug,Friday,06:00-06:15PM,16
Aug,Friday,06:15-06:30PM,12
Aug,Friday,06:30-06:45PM,11
Aug,Friday,06:45-06:59PM,24
Aug,Friday,07:00-07:15PM,11
Aug,Friday,07:15-07:30PM,15
Aug,Friday,07:30-07:45PM,15
Aug,Friday,07:45-07:59PM,13
Aug,Friday,08:00-08:15PM,13
Aug,Friday,08:15-08:30PM,10
Aug,Friday,08:30-08:45PM,8
Aug,Friday,08:45-08:59PM,1
Aug,Saturday,09:45-09:59AM,4
Aug,Saturday,10:00-10:15AM,10
Aug,Saturday,10:15-10:30AM,8
Aug,Saturday,10:30-10:45AM,9
Aug,Saturday,10:45-10:59AM,14
Aug,Saturday,11:00-11:15AM,6
Aug,Saturday,11:15-11:30AM,7
Aug,Saturday,11:30-11:45AM,20
Aug,Saturday,11:45-11:59AM,18
Aug,Saturday,12:00-12:15PM,7
Aug,Saturday,12:15-12:30PM,9
Aug,Saturday,12:30-12:45PM,22
Aug,Saturday,12:45-12:59PM,16
Aug,Saturday,01:00-01:15PM,19
Aug,Saturday,01:15-01:30PM,12
Aug,Saturday,01:30-01:45PM,9
Aug,Saturday,01:45-01:59PM,14
Aug,Saturday,02:00-02:15PM,19
Aug,Saturday,02:15-02:30PM,14
Aug,Saturday,02:30-02:45PM,28
Aug,Saturday,02:45-02:59PM,23
Aug,Saturday,03:00-03:15PM,24
Aug,Saturday,03:15-03:30PM,7
Aug,Saturday,03:30-03:45PM,19
Aug,Saturday,03:45-03:59PM,22
Aug,Saturday,04:00-04:15PM,17
Aug,Saturday,04:15-04:30PM,14
Aug,Saturday,04:30-04:45PM,25
Aug,Saturday,04:45-04:59PM,14
Aug,Saturday,05:00-05:15PM,28
Aug,Saturday,05:15-05:30PM,15
Aug,Saturday,05:30-05:45PM,18
Aug,Saturday,05:45-05:59PM,18
Aug,Saturday,06:00-06:15PM,23
Aug,Saturday,06:15-06:30PM,8
Aug,Saturday,06:30-06:45PM,6
Aug,Saturday,06:45-06:59PM,3
Aug,Sunday,11:45-11:59AM,13
Aug,Sunday,12:00-12:15PM,32
Aug,Sunday,12:15-12:30PM,23
Aug,Sunday,12:30-12:45PM,18
Aug,Sunday,12:45-12:59PM,18
Aug,Sunday,01:00-01:15PM,27
Aug,Sunday,01:15-01:30PM,24
Aug,Sunday,01:30-01:45PM,40
Aug,Sunday,01:45-01:59PM,36
Aug,Sunday,02:00-02:15PM,17
Aug,Sunday,02:15-02:30PM,26
Aug,Sunday,02:30-02:45PM,24
Aug,Sunday,02:45-02:59PM,19
Aug,Sunday,03:00-03:15PM,17
Aug,Sunday,03:15-03:30PM,13
Aug,Sunday,03:30-03:45PM,15
Aug,Sunday,03:45-03:59PM,14
Aug,Sunday,04:00-04:15PM,13
Aug,Sunday,04:15-04:30PM,19
Aug,Sunday,04:30-04:45PM,11
Aug,Sunday,04:45-04:59PM,28
Aug,Sunday,05:00-05:15PM,28
Aug,Sunday,05:15-05:30PM,21
Aug,Sunday,05:30-05:45PM,32
Aug,Sunday,05:45-05:59PM,22
Aug,Sunday,06:00-06:15PM,23
Aug,Sunday,06:15-06:30PM,26
Aug,Sunday,06:30-06:45PM,26
Aug,Sunday,06:45-06:59PM,19
Aug,Sunday,07:00-07:15PM,46
Aug,Sunday,07:15-07:30PM,29
Aug,Sunday,07:30-07:45PM,43
Aug,Sunday,07:45-07:59PM,36
Aug,Sunday,08:00-08:15PM,41
Aug,Sunday,08:15-08:30PM,49
Aug,Sunday,08:30-08:45PM,28
Aug,Sunday,08:45-08:59PM,49
Aug,Sunday,09:00-09:15PM,17
Aug,Sunday,09:15-09:30PM,20
Aug,Sunday,09:30-09:45PM,13
Aug,Sunday,09:45-09:59PM,3
Aug,Monday,05:45-05:59AM,7
Aug,Monday,06:00-06:15AM,22
Aug,Monday,06:15-06:30AM,18
Aug,Monday,06:30-06:45AM,10
Aug,Monday,06:45-06:59AM,6
Aug,Monday,07:00-07:15AM,12
Aug,Monday,07:15-07:30AM,13
Aug,Monday,07:30-07:45AM,11
Aug,Monday,07:45-07:59AM,4
Aug,Monday,08:00-08:15AM,11
Aug,Monday,08:15-08:30AM,3
Aug,Monday,08:30-08:45AM,3
Aug,Monday,08:45-08:59AM,7
Aug,Monday,09:00-09:15AM,12
Aug,Monday,09:15-09:30AM,10
Aug,Monday,09:30-09:45AM,19
Aug,Monday,09:45-09:59AM,10
Aug,Monday,10:00-10:15AM,22
Aug,Monday,10:15-10:30AM,26
Aug,Monday,10:30-10:45AM,25
Aug,Monday,10:45-10:59AM,16
Aug,Monday,11:00-11:15AM,44
Aug,Monday,11:15-11:30AM,33
Aug,Monday,11:30-11:45AM,36
Aug,Monday,11:45-11:59AM,44
Aug,Monday,12:00-12:15PM,50
Aug,Monday,12:15-12:30PM,30
Aug,Monday,12:30-12:45PM,41
Aug,Monday,12:45-12:59PM,33
Aug,Monday,01:00-01:15PM,36
Aug,Monday,01:15-01:30PM,37
Aug,Monday,01:30-01:45PM,32
Aug,Monday,01:45-01:59PM,37
Aug,Monday,02:00-02:15PM,54
Aug,Monday,02:15-02:30PM,44
Aug,Monday,02:30-02:45PM,58
Aug,Monday,02:45-02:59PM,112
Aug,Monday,03:00-03:15PM,65
Aug,Monday,03:15-03:30PM,49
Aug,Monday,03:30-03:45PM,49
Aug,Monday,03:45-03:59PM,63
Aug,Monday,04:00-04:15PM,82
Aug,Monday,04:15-04:30PM,49
Aug,Monday,04:30-04:45PM,64
Aug,Monday,04:45-04:59PM,55
Aug,Monday,05:00-05:15PM,64
Aug,Monday,05:15-05:30PM,40
Aug,Monday,05:30-05:45PM,38
Aug,Monday,05:45-05:59PM,48
Aug,Monday,06:00-06:15PM,43
Aug,Monday,06:15-06:30PM,39
Aug,Monday,06:30-06:45PM,64
Aug,Monday,06:45-06:59PM,75
Aug,Monday,07:00-07:15PM,47
Aug,Monday,07:15-07:30PM,45
Aug,Monday,07:30-07:45PM,54
Aug,Monday,07:45-07:59PM,67
Aug,Monday,08:00-08:15PM,47
Aug,Monday,08:15-08:30PM,62
Aug,Monday,08:30-08:45PM,37
Aug,Monday,08:45-08:59PM,70
Aug,Monday,09:00-09:15PM,27
Aug,Monday,09:15-09:30PM,12
Aug,Monday,09:30-09:45PM,1
Aug,Monday,09:45-09:59PM,2
Aug,Tuesday,05:45-05:59AM,7
Aug,Tuesday,06:00-06:15AM,25
Aug,Tuesday,06:15-06:30AM,19
Aug,Tuesday,06:30-06:45AM,4
Aug,Tuesday,06:45-06:59AM,11
Aug,Tuesday,07:00-07:15AM,22
Aug,Tuesday,07:15-07:30AM,6
Aug,Tuesday,07:30-07:45AM,14
Aug,Tuesday,07:45-07:59AM,6
Aug,Tuesday,08:00-08:15AM,9
Aug,Tuesday,08:15-08:30AM,11
Aug,Tuesday,08:30-08:45AM,14
Aug,Tuesday,08:45-08:59AM,8
Aug,Tuesday,09:00-09:15AM,25
Aug,Tuesday,09:15-09:30AM,21
Aug,Tuesday,09:30-09:45AM,7
Aug,Tuesday,09:45-09:59AM,26
Aug,Tuesday,10:00-10:15AM,15
Aug,Tuesday,10:15-10:30AM,34
Aug,Tuesday,10:30-10:45AM,24
Aug,Tuesday,10:45-10:59AM,42
Aug,Tuesday,11:00-11:15AM,29
Aug,Tuesday,11:15-11:30AM,42
Aug,Tuesday,11:30-11:45AM,55
Aug,Tuesday,11:45-11:59AM,42
Aug,Tuesday,12:00-12:15PM,66
Aug,Tuesday,12:15-12:30PM,66
Aug,Tuesday,12:30-12:45PM,51
Aug,Tuesday,12:45-12:59PM,77
Aug,Tuesday,01:00-01:15PM,58
Aug,Tuesday,01:15-01:30PM,47
Aug,Tuesday,01:30-01:45PM,39
Aug,Tuesday,01:45-01:59PM,64
Aug,Tuesday,02:00-02:15PM,81
Aug,Tuesday,02:15-02:30PM,73
Aug,Tuesday,02:30-02:45PM,65
Aug,Tuesday,02:45-02:59PM,72
Aug,Tuesday,03:00-03:15PM,67
Aug,Tuesday,03:15-03:30PM,59
Aug,Tuesday,03:30-03:45PM,57
Aug,Tuesday,03:45-03:59PM,62
Aug,Tuesday,04:00-04:15PM,35
Aug,Tuesday,04:15-04:30PM,60
Aug,Tuesday,04:30-04:45PM,39
Aug,Tuesday,04:45-04:59PM,64
Aug,Tuesday,05:00-05:15PM,57
Aug,Tuesday,05:15-05:30PM,48
Aug,Tuesday,05:30-05:45PM,62
Aug,Tuesday,05:45-05:59PM,40
Aug,Tuesday,06:00-06:15PM,42
Aug,Tuesday,06:15-06:30PM,28
Aug,Tuesday,06:30-06:45PM,58
Aug,Tuesday,06:45-06:59PM,51
Aug,Tuesday,07:00-07:15PM,54
Aug,Tuesday,07:15-07:30PM,58
Aug,Tuesday,07:30-07:45PM,48
Aug,Tuesday,07:45-07:59PM,43
Aug,Tuesday,08:00-08:15PM,53
Aug,Tuesday,08:15-08:30PM,85
Aug,Tuesday,08:30-08:45PM,71
Aug,Tuesday,08:45-08:59PM,64
Aug,Tuesday,09:00-09:15PM,54
Aug,Tuesday,09:15-09:30PM,14
Aug,Tuesday,09:30-09:45PM,12
Aug,Tuesday,09:45-09:59PM,1
Aug,Wednesday,05:45-05:59AM,4
Aug,Wednesday,06:00-06:15AM,20
Aug,Wednesday,06:15-06:30AM,11
Aug,Wednesday,06:30-06:45AM,19
Aug,Wednesday,06:45-06:59AM,17
Aug,Wednesday,07:00-07:15AM,9
Aug,Wednesday,07:15-07:30AM,15
Aug,Wednesday,07:30-07:45AM,9
Aug,Wednesday,07:45-07:59AM,12
Aug,Wednesday,08:00-08:15AM,8
Aug,Wednesday,08:15-08:30AM,10
Aug,Wednesday,10:00-10:15AM,9
Aug,Wednesday,10:15-10:30AM,15
Aug,Wednesday,10:30-10:45AM,18
Aug,Wednesday,10:45-10:59AM,24
Aug,Wednesday,11:00-11:15AM,37
Aug,Wednesday,11:15-11:30AM,38
Aug,Wednesday,11:30-11:45AM,44
Aug,Wednesday,11:45-11:59AM,66
Aug,Wednesday,12:00-12:15PM,61
Aug,Wednesday,12:15-12:30PM,42
Aug,Wednesday,12:30-12:45PM,65
Aug,Wednesday,12:45-12:59PM,37
Aug,Wednesday,01:00-01:15PM,33
Aug,Wednesday,01:15-01:30PM,34
Aug,Wednesday,01:30-01:45PM,49
Aug,Wednesday,01:45-01:59PM,60
Aug,Wednesday,02:00-02:15PM,40
Aug,Wednesday,02:15-02:30PM,36
Aug,Wednesday,02:30-02:45PM,64
Aug,Wednesday,02:45-02:59PM,49
Aug,Wednesday,03:00-03:15PM,78
Aug,Wednesday,03:15-03:30PM,44
Aug,Wednesday,03:30-03:45PM,72
Aug,Wednesday,03:45-03:59PM,65
Aug,Wednesday,04:00-04:15PM,85
Aug,Wednesday,04:15-04:30PM,53
Aug,Wednesday,04:30-04:45PM,51
Aug,Wednesday,04:45-04:59PM,67
Aug,Wednesday,05:00-05:15PM,51
Aug,Wednesday,05:15-05:30PM,62
Aug,Wednesday,05:30-05:45PM,76
Aug,Wednesday,05:45-05:59PM,81
Aug,Wednesday,06:00-06:15PM,64
Aug,Wednesday,06:15-06:30PM,266
Aug,Wednesday,06:30-06:45PM,503
Aug,Wednesday,06:45-06:59PM,206
Aug,Wednesday,07:00-07:15PM,140
Aug,Wednesday,07:15-07:30PM,112
Aug,Wednesday,07:30-07:45PM,93
Aug,Wednesday,07:45-07:59PM,86
Aug,Wednesday,08:00-08:15PM,108
Aug,Wednesday,08:15-08:30PM,67
Aug,Wednesday,08:30-08:45PM,56
Aug,Wednesday,08:45-08:59PM,69
Aug,Wednesday,09:00-09:15PM,39
Aug,Wednesday,09:15-09:30PM,35
Aug,Wednesday,09:30-09:45PM,10
Aug,Thursday,05:45-05:59AM,9
Aug,Thursday,06:00-06:15AM,46
Aug,Thursday,06:15-06:30AM,11
Aug,Thursday,06:30-06:45AM,9
Aug,Thursday,06:45-06:59AM,10
Aug,Thursday,07:00-07:15AM,6
Aug,Thursday,07:15-07:30AM,9
Aug,Thursday,07:30-07:45AM,7
Aug,Thursday,07:45-07:59AM,4
Aug,Thursday,08:00-08:15AM,15
Aug,Thursday,08:15-08:30AM,10
Aug,Thursday,08:30-08:45AM,1
Aug,Thursday,08:45-08:59AM,11
Aug,Thursday,09:00-09:15AM,17
Aug,Thursday,09:15-09:30AM,7
Aug,Thursday,09:30-09:45AM,5
Aug,Thursday,09:45-09:59AM,17
Aug,Thursday,10:00-10:15AM,18
Aug,Thursday,10:15-10:30AM,17
Aug,Thursday,10:30-10:45AM,23
Aug,Thursday,10:45-10:59AM,27
Aug,Thursday,11:00-11:15AM,30
Aug,Thursday,11:15-11:30AM,24
Aug,Thursday,11:30-11:45AM,41
Aug,Thursday,11:45-11:59AM,40
Aug,Thursday,12:00-12:15PM,62
Aug,Thursday,12:15-12:30PM,32
Aug,Thursday,12:30-12:45PM,64
Aug,Thursday,12:45-12:59PM,51
Aug,Thursday,01:00-01:15PM,43
Aug,Thursday,01:15-01:30PM,42
Aug,Thursday,01:30-01:45PM,41
Aug,Thursday,01:45-01:59PM,15
Aug,Thursday,02:00-02:15PM,47
Aug,Thursday,02:15-02:30PM,33
Aug,Thursday,02:30-02:45PM,18
Aug,Thursday,02:45-02:59PM,30
Aug,Thursday,03:00-03:15PM,31
Aug,Thursday,03:15-03:30PM,48
Aug,Thursday,03:30-03:45PM,37
Aug,Thursday,03:45-03:59PM,27
Aug,Thursday,04:00-04:15PM,17
Aug,Thursday,04:15-04:30PM,25
Aug,Thursday,04:30-04:45PM,25
Aug,Thursday,04:45-04:59PM,14
Aug,Thursday,05:00-05:15PM,23
Aug,Thursday,05:15-05:30PM,32
Aug,Thursday,05:30-05:45PM,33
Aug,Thursday,05:45-05:59PM,20
Aug,Thursday,06:00-06:15PM,33
Aug,Thursday,06:15-06:30PM,43
Aug,Thursday,06:30-06:45PM,50
Aug,Thursday,06:45-06:59PM,44
Aug,Thursday,07:00-07:15PM,81
Aug,Thursday,07:15-07:30PM,64
Aug,Thursday,07:30-07:45PM,76
Aug,Thursday,07:45-07:59PM,107
Aug,Thursday,08:00-08:15PM,84
Aug,Thursday,08:15-08:30PM,51
Aug,Thursday,08:30-08:45PM,58
Aug,Thursday,08:45-08:59PM,37
Aug,Thursday,09:00-09:15PM,20
Aug,Thursday,09:15-09:30PM,24
Aug,Thursday,09:30-09:45PM,2
Aug,Friday,06:00-06:15AM,12
Aug,Friday,06:15-06:30AM,6
Aug,Friday,06:30-06:45AM,11
Aug,Friday,06:45-06:59AM,12
Aug,Friday,07:00-07:15AM,6
Aug,Friday,07:15-07:30AM,3
Aug,Friday,07:30-07:45AM,12
Aug,Friday,07:45-07:59AM,7
Aug,Friday,08:00-08:15AM,6
Aug,Friday,08:15-08:30AM,7
Aug,Friday,08:30-08:45AM,11
Aug,Friday,08:45-08:59AM,5
Aug,Friday,09:00-09:15AM,10
Aug,Friday,09:15-09:30AM,13
Aug,Friday,09:30-09:45AM,20
Aug,Friday,09:45-09:59AM,19
Aug,Friday,10:00-10:15AM,24
Aug,Friday,10:15-10:30AM,24
Aug,Friday,10:30-10:45AM,24
Aug,Friday,10:45-10:59AM,24
Aug,Friday,11:00-11:15AM,39
Aug,Friday,11:15-11:30AM,48
Aug,Friday,11:30-11:45AM,35
Aug,Friday,11:45-11:59AM,33
Aug,Friday,12:00-12:15PM,57
Aug,Friday,12:15-12:30PM,35
Aug,Friday,12:30-12:45PM,43
Aug,Friday,12:45-12:59PM,48
Aug,Friday,01:00-01:15PM,55
Aug,Friday,01:15-01:30PM,37
Aug,Friday,01:30-01:45PM,60
Aug,Friday,01:45-01:59PM,29
Aug,Friday,02:00-02:15PM,28
Aug,Friday,02:15-02:30PM,19
Aug,Friday,02:30-02:45PM,31
Aug,Friday,02:45-02:59PM,39
Aug,Friday,03:00-03:15PM,58
Aug,Friday,03:15-03:30PM,34
Aug,Friday,03:30-03:45PM,35
Aug,Friday,03:45-03:59PM,38
Aug,Friday,04:00-04:15PM,63
Aug,Friday,04:15-04:30PM,65
Aug,Friday,04:30-04:45PM,35
Aug,Friday,04:45-04:59PM,41
Aug,Friday,05:00-05:15PM,46
Aug,Friday,05:15-05:30PM,52
Aug,Friday,05:30-05:45PM,48
Aug,Friday,05:45-05:59PM,32
Aug,Friday,06:00-06:15PM,55
Aug,Friday,06:15-06:30PM,37
Aug,Friday,06:30-06:45PM,60
Aug,Friday,06:45-06:59PM,35
Aug,Friday,07:00-07:15PM,36
Aug,Friday,07:15-07:30PM,44
Aug,Friday,07:30-07:45PM,34
Aug,Friday,07:45-07:59PM,38
Aug,Friday,08:00-08:15PM,40
Aug,Friday,08:15-08:30PM,35
Aug,Friday,08:30-08:45PM,13
Aug,Friday,08:45-08:59PM,1
Aug,Saturday,09:45-09:59AM,16
Aug,Saturday,10:00-10:15AM,28
Aug,Saturday,10:15-10:30AM,23
Aug,Saturday,10:30-10:45AM,27
Aug,Saturday,10:45-10:59AM,30
Aug,Saturday,11:00-11:15AM,19
Aug,Saturday,11:15-11:30AM,30
Aug,Saturday,11:30-11:45AM,16
Aug,Saturday,11:45-11:59AM,33
Aug,Saturday,12:00-12:15PM,19
Aug,Saturday,12:15-12:30PM,30
Aug,Saturday,12:30-12:45PM,40
Aug,Saturday,12:45-12:59PM,46
Aug,Saturday,01:00-01:15PM,36
Aug,Saturday,01:15-01:30PM,43
Aug,Saturday,01:30-01:45PM,37
Aug,Saturday,01:45-01:59PM,34
Aug,Saturday,02:00-02:15PM,36
Aug,Saturday,02:15-02:30PM,39
Aug,Saturday,02:30-02:45PM,26
Aug,Saturday,02:45-02:59PM,42
